Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
385,Paul Onuachu,ng NGA,FW,Southampton,30-310,1994,20,9,852,9.5,4,1,5,4,0,0,3,0,3.1,3.1,0.5,3.6,7,12,35,0.42,0.11,0.53,0.42,0.53,0.33,0.05,0.38,0.33,0.38,Matches,2024-2025
386,Frank Onyeka,ng NGA,MF,Brentford,27-092,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
387,Lewis Orford,eng ENG,MF,West Ham,19-044,2006,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches,2024-2025
388,Stefan Ortega,de GER,GK,Manchester City,32-148,1992,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
389,William Osula,dk DEN,FW,Newcastle Utd,21-242,2003,10,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches,2024-2025
390,Dango Ouattara,bf BFA,FW,Bournemouth,23-051,2002,27,16,1608,17.9,7,4,11,7,0,0,1,0,7.7,7.7,4.6,12.3,60,35,160,0.39,0.22,0.62,0.39,0.62,0.43,0.26,0.69,0.43,0.69,Matches,2024-2025
391,Nico O’Reilly,eng ENG,"DF,MF",Manchester City,20-013,2005,3,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,8,4,3,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12,0.11,0.12,Matches,2024-2025
392,Alex Palmer,eng ENG,GK,Ipswich Town,28-236,1996,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
393,Cole Palmer,eng ENG,MF,Chelsea,22-332,2002,28,28,2441,27.1,14,6,20,11,3,4,4,0,15.2,12.1,8.6,20.7,85,157,141,0.52,0.22,0.74,0.41,0.63,0.56,0.32,0.88,0.45,0.76,Matches,2024-2025
394,Emerson Palmieri,it ITA,DF,West Ham,30-243,1994,26,23,1806,20.1,2,1,3,2,0,0,5,0,1.7,1.7,1.5,3.2,36,53,71,0.10,0.05,0.15,0.10,0.15,0.08,0.07,0.16,0.08,0.16,Matches,2024-2025
395,Lucas Paquetá,br BRA,"MF,FW",West Ham,27-219,1997,26,22,1897,21.1,4,0,4,2,2,2,7,0,5.1,3.5,2.2,5.7,16,108,71,0.19,0.00,0.19,0.09,0.09,0.24,0.11,0.35,0.16,0.27,Matches,2024-2025
396,Thomas Partey,gh GHA,"MF,DF",Arsenal,31-294,1993,29,25,2279,25.3,3,2,5,3,0,0,4,0,1.8,1.8,1.9,3.7,30,155,38,0.12,0.08,0.20,0.12,0.20,0.07,0.08,0.15,0.07,0.15,Matches,2024-2025
397,Nathan Patterson,sct SCO,"DF,FW",Everton,23-169,2001,7,0,129,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,7,7,0.00,0.00,0.00,0.00,0.00,0.05,0.24,0.29,0.05,0.29,Matches,2024-2025
398,Andreas Pereira,br BRA,MF,Fulham,29-092,1996,27,19,1601,17.8,2,4,6,2,0,1,7,0,3.3,2.5,3.7,6.2,21,94,67,0.11,0.22,0.34,0.11,0.34,0.19,0.21,0.40,0.14,0.35,Matches,2024-2025
399,Ricardo Pereira,pt POR,"DF,MF",Leicester City,31-179,1993,4,2,168,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,7,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,2024-2025
400,Kalvin Phillips,eng ENG,MF,Ipswich Town,29-122,1995,18,14,1214,13.5,0,0,0,0,0,0,6,1,0.4,0.4,0.2,0.6,4,49,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches,2024-2025
401,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,23-054,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.20,0.13,0.20,Matches,2024-2025
402,Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,23-054,2002,8,5,459,5.1,2,0,2,2,0,0,1,0,1.9,1.9,0.2,2.1,13,10,34,0.39,0.00,0.39,0.39,0.39,0.37,0.05,0.42,0.37,0.42,Matches,2024-2025
403,Jordan Pickford,eng ENG,GK,Everton,31-027,1994,30,30,2700,30.0,0,1,1,0,0,0,6,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches,2024-2025
404,Ethan Pinnock,jm JAM,DF,Brentford,31-309,1993,22,21,1913,21.3,2,0,2,2,0,0,2,0,1.1,1.1,1.2,2.3,3,41,9,0.09,0.00,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11,Matches,2024-2025
405,Daniel Podence,pt POR,"MF,FW",Wolves,29-164,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,2024-2025
406,Alfie Pond,eng ENG,DF,Wolves,21-033,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
407,Nick Pope,eng ENG,GK,Newcastle Utd,32-349,1992,19,19,1710,19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
408,Pedro Porro,es ESP,DF,Tottenham,25-202,1999,28,24,2280,25.3,2,5,7,2,0,0,2,0,1.5,1.5,3.2,4.7,57,128,93,0.08,0.20,0.28,0.08,0.28,0.06,0.13,0.18,0.06,0.18,Matches,2024-2025
409,Jarell Quansah,eng ENG,DF,Liverpool,22-064,2003,10,2,292,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,10,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
410,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,23-172,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
411,Aaron Ramsdale,eng ENG,GK,Southampton,26-324,1998,22,22,1980,22.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
412,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-310,2001,22,16,1312,14.6,1,3,4,1,0,0,1,0,1.3,1.3,1.8,3.1,51,58,87,0.07,0.21,0.27,0.07,0.27,0.09,0.12,0.21,0.09,0.21,Matches,2024-2025
413,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-154,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Matches,2024-2025
414,Marcus Rashford,eng ENG,FW,Aston Villa,27-154,1997,6,2,266,3.0,1,2,3,1,0,0,0,0,0.8,0.8,1.9,2.7,15,11,33,0.34,0.68,1.02,0.34,1.02,0.27,0.63,0.90,0.27,0.90,Matches,2024-2025
415,David Raya,es ESP,GK,Arsenal,29-200,1995,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
416,Harrison Reed,eng ENG,MF,Fulham,30-066,1995,10,0,78,0.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,4,7,0.00,0.00,0.00,0.00,0.00,0.17,0.09,0.25,0.17,0.25,Matches,2024-2025
417,Remy Rees-Dottin,eng ENG,FW,Bournemouth,19-028,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
418,Sergio Reguilón,es ESP,DF,Tottenham,28-108,1996,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches,2024-2025
419,Bobby Reid,jm JAM,"FW,MF",Leicester City,32-060,1993,20,7,639,7.1,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2.0,12,14,40,0.14,0.28,0.42,0.14,0.42,0.11,0.17,0.27,0.11,0.27,Matches,2024-2025
420,Vitor Reis,br BRA,DF,Manchester City,19-081,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
421,Chadi Riad,ma MAR,DF,Crystal Palace,21-290,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
422,Declan Rice,eng ENG,MF,Arsenal,26-079,1999,28,26,2246,25.0,2,5,7,2,0,0,6,1,2.3,2.3,5.9,8.2,78,156,80,0.08,0.20,0.28,0.08,0.28,0.09,0.24,0.33,0.09,0.33,Matches,2024-2025
423,Chris Richards,us USA,DF,Crystal Palace,25-006,2000,17,15,1338,14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,5,33,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,2024-2025
424,Richarlison,br BRA,FW,Tottenham,27-328,1997,9,2,279,3.1,2,1,3,2,0,0,1,0,1.2,1.2,0.9,2.1,8,10,17,0.65,0.32,0.97,0.65,0.97,0.38,0.29,0.67,0.38,0.67,Matches,2024-2025
425,Andrew Robertson,sct SCO,DF,Liverpool,31-023,1994,28,25,2106,23.4,0,0,0,0,0,0,3,1,0.9,0.9,4.1,5.1,54,158,88,0.00,0.00,0.00,0.00,0.00,0.04,0.18,0.22,0.04,0.22,Matches,2024-2025
426,Antonee Robinson,us USA,DF,Fulham,27-238,1997,30,29,2629,29.2,0,10,10,0,0,0,7,0,0.7,0.7,3.9,4.6,102,105,237,0.00,0.34,0.34,0.00,0.34,0.02,0.13,0.16,0.02,0.16,Matches,2024-2025
427,Rodri,es ESP,MF,Manchester City,28-285,1996,2,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,2024-2025
428,Guido Rodríguez,ar ARG,MF,West Ham,30-356,1994,20,14,1018,11.3,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,2,31,5,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,2024-2025
429,Mads Roerslev,dk DEN,DF,Brentford,25-283,1999,19,11,1101,12.2,0,2,2,0,0,0,2,0,0.2,0.2,3.0,3.2,17,51,54,0.00,0.16,0.16,0.00,0.16,0.02,0.24,0.26,0.02,0.26,Matches,2024-2025
430,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22-251,2002,29,29,2423,26.9,7,6,13,7,0,0,8,0,4.8,4.8,5.8,10.7,92,95,140,0.26,0.22,0.48,0.26,0.48,0.18,0.22,0.40,0.18,0.40,Matches,2024-2025
431,Cristian Romero,ar ARG,DF,Tottenham,26-341,1998,14,14,1101,12.2,1,0,1,1,0,0,1,0,1.1,1.1,0.5,1.7,10,56,2,0.08,0.00,0.08,0.08,0.08,0.09,0.04,0.14,0.09,0.14,Matches,2024-2025
432,Georginio Rutter,fr FRA,"MF,FW",Brighton,22-348,2002,28,19,1656,18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,42,67,79,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,Matches,2024-2025
433,José Sá,pt POR,GK,Wolves,32-076,1993,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,2024-2025
434,Bukayo Saka,eng ENG,"FW,MF",Arsenal,23-210,2001,17,16,1293,14.4,6,10,16,5,1,1,3,0,4.9,4.1,5.8,9.9,72,54,198,0.42,0.70,1.11,0.35,1.04,0.34,0.40,0.75,0.29,0.69,Matches,2024-2025
435,Mohamed Salah,eg EGY,FW,Liverpool,32-292,1992,30,30,2657,29.5,27,17,44,18,9,9,1,0,22.1,15.0,11.2,26.2,124,114,374,0.91,0.58,1.49,0.61,1.19,0.75,0.38,1.13,0.51,0.89,Matches,2024-2025
436,William Saliba,fr FRA,DF,Arsenal,24-010,2001,28,28,2454,27.3,2,0,2,2,0,0,2,1,2.1,2.1,0.5,2.7,13,118,6,0.07,0.00,0.07,0.07,0.07,0.08,0.02,0.10,0.08,0.10,Matches,2024-2025
437,Robert Sánchez,es ESP,GK,Chelsea,27-136,1997,23,23,2070,23.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
438,Jadon Sancho,eng ENG,FW,Chelsea,25-009,2000,23,16,1430,15.9,2,4,6,2,0,0,1,0,1.6,1.6,3.2,4.8,83,71,177,0.13,0.25,0.38,0.13,0.38,0.10,0.20,0.30,0.10,0.30,Matches,2024-2025
439,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,27-122,1997,8,3,279,3.1,0,1,1,0,0,0,2,0,0.0,0.0,0.4,0.4,0,12,2,0.00,0.32,0.32,0.00,0.32,0.01,0.12,0.12,0.01,0.12,Matches,2024-2025
440,Pablo Sarabia,es ESP,"MF,FW",Wolves,32-327,1992,16,6,584,6.5,1,1,2,1,0,0,2,0,2.5,2.5,0.7,3.2,11,46,45,0.15,0.15,0.31,0.15,0.31,0.39,0.11,0.50,0.39,0.50,Matches,2024-2025
441,Jeremy Sarmiento,ec ECU,MF,Brighton,22-291,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
442,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,27-037,1998,29,22,2020,22.4,7,3,10,7,0,0,3,0,7.8,7.8,5.9,13.7,54,67,149,0.31,0.13,0.45,0.31,0.45,0.35,0.26,0.61,0.35,0.61,Matches,2024-2025
443,Sávio,br BRA,"FW,MF",Manchester City,20-358,2004,25,20,1648,18.3,1,8,9,1,0,0,3,0,4.8,4.8,6.9,11.7,130,64,225,0.05,0.44,0.49,0.05,0.49,0.26,0.38,0.64,0.26,0.64,Matches,2024-2025
444,Oliver Scarles,eng ENG,DF,West Ham,19-112,2005,11,4,482,5.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,7,18,36,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,2024-2025
445,Dane Scarlett,eng ENG,"FW,MF",Tottenham,21-010,2004,3,0,34,0.4,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,1,0.00,2.65,2.65,0.00,2.65,0.09,0.12,0.22,0.09,0.22,Matches,2024-2025
446,Kevin Schade,de GER,FW,Brentford,23-127,2001,30,18,1665,18.5,7,2,9,7,0,0,2,0,5.8,5.8,3.1,8.9,47,30,129,0.38,0.11,0.49,0.38,0.49,0.32,0.17,0.48,0.32,0.48,Matches,2024-2025
447,Fabian Schär,ch SUI,DF,Newcastle Utd,33-104,1991,25,24,2142,23.8,2,0,2,2,0,0,6,1,1.6,1.6,0.3,1.9,12,75,16,0.08,0.00,0.08,0.08,0.08,0.07,0.01,0.08,0.07,0.08,Matches,2024-2025
448,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,32-101,1992,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.28,0.14,0.28,Matches,2024-2025
449,Alex Scott,eng ENG,MF,Bournemouth,21-225,2003,13,3,437,4.9,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.8,9,45,23,0.00,0.00,0.00,0.00,0.00,0.10,0.06,0.16,0.10,0.16,Matches,2024-2025
450,Matz Sels,be BEL,GK,Nott'ham Forest,33-036,1992,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
451,Nélson Semedo,pt POR,DF,Wolves,31-138,1993,26,25,2235,24.8,0,4,4,0,0,0,7,0,0.6,0.6,2.6,3.2,55,57,97,0.00,0.16,0.16,0.00,0.16,0.02,0.10,0.13,0.02,0.13,Matches,2024-2025
452,Antoine Semenyo,gh GHA,FW,Bournemouth,25-086,2000,29,29,2555,28.4,7,4,11,7,0,0,9,0,8.7,8.7,5.2,13.9,116,89,231,0.25,0.14,0.39,0.25,0.39,0.31,0.18,0.49,0.31,0.49,Matches,2024-2025
453,Marcos Senesi,ar ARG,DF,Bournemouth,27-328,1997,12,11,950,10.6,0,0,0,0,0,0,4,0,0.8,0.8,0.2,1.0,13,48,4,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches,2024-2025
454,Ryan Sessegnon,eng ENG,"DF,MF",Fulham,24-320,2000,8,1,110,1.2,2,1,3,2,0,0,0,0,0.6,0.6,0.5,1.1,5,2,12,1.64,0.82,2.45,1.64,2.45,0.52,0.41,0.93,0.52,0.93,Matches,2024-2025
455,Luke Shaw,eng ENG,DF,Manchester Utd,29-265,1995,2,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
456,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,19-268,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
457,Bernardo Silva,pt POR,"MF,FW",Manchester City,30-236,1994,26,22,2041,22.7,2,4,6,2,0,0,5,0,3.0,3.0,4.2,7.2,82,97,169,0.09,0.18,0.26,0.09,0.26,0.13,0.18,0.32,0.13,0.32,Matches,2024-2025
458,Jota Silva,pt POR,"FW,MF",Nott'ham Forest,25-245,1999,25,4,725,8.1,2,1,3,2,0,0,4,0,1.5,1.5,2.8,4.3,17,14,47,0.25,0.12,0.37,0.25,0.37,0.19,0.35,0.54,0.19,0.54,Matches,2024-2025
459,Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,18-335,2006,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
460,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,19-150,2005,2,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
461,Luis Sinisterra,co COL,"FW,MF",Bournemouth,25-290,1999,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.00,0.46,1.00,Matches,2024-2025
462,Oliver Skipp,eng ENG,MF,Leicester City,24-199,2000,17,7,824,9.2,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.3,14,23,14,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches,2024-2025
463,William Smallbone,ie IRL,MF,Southampton,25-041,2000,12,6,555,6.2,1,0,1,1,0,0,1,0,0.4,0.4,0.6,1.0,4,22,18,0.16,0.00,0.16,0.16,0.16,0.06,0.10,0.17,0.06,0.17,Matches,2024-2025
464,Adam Smith,eng ENG,DF,Bournemouth,33-339,1991,18,13,1080,12.0,0,0,0,0,0,0,4,0,0.6,0.6,0.2,0.7,9,31,16,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,2024-2025
465,Emile Smith Rowe,eng ENG,MF,Fulham,24-249,2000,27,23,1790,19.9,5,2,7,5,0,0,1,0,4.1,4.1,1.1,5.2,50,113,105,0.25,0.10,0.35,0.25,0.35,0.21,0.05,0.26,0.21,0.26,Matches,2024-2025
466,Dominic Solanke,eng ENG,FW,Tottenham,27-201,1997,20,20,1778,19.8,7,3,10,7,0,0,0,0,9.2,9.2,2.8,12.0,27,38,75,0.35,0.15,0.51,0.35,0.51,0.47,0.14,0.61,0.47,0.61,Matches,2024-2025
467,Carlos Soler,es ESP,"MF,FW",West Ham,28-091,1997,25,12,1143,12.7,1,1,2,1,0,0,5,0,1.2,1.2,1.1,2.3,12,47,23,0.08,0.08,0.16,0.08,0.16,0.10,0.09,0.18,0.10,0.18,Matches,2024-2025
468,Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,25-215,1999,15,1,246,2.7,1,0,1,1,0,0,1,0,0.9,0.9,0.4,1.4,11,4,14,0.37,0.00,0.37,0.37,0.37,0.34,0.15,0.50,0.34,0.50,Matches,2024-2025
469,Tomáš Souček,cz CZE,MF,West Ham,30-035,1995,28,24,2097,23.3,7,1,8,7,0,0,8,0,5.1,5.1,1.0,6.1,6,66,57,0.30,0.04,0.34,0.30,0.34,0.22,0.04,0.26,0.22,0.26,Matches,2024-2025
470,Boubakary Soumaré,fr FRA,MF,Leicester City,26-035,1999,23,19,1638,18.2,0,0,0,0,0,0,8,0,0.2,0.2,0.4,0.6,29,79,20,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,2024-2025
471,Djed Spence,eng ENG,DF,Tottenham,24-237,2000,16,11,1064,11.8,1,1,2,1,0,0,3,1,0.3,0.3,1.5,1.8,36,62,48,0.08,0.08,0.17,0.08,0.17,0.02,0.13,0.15,0.02,0.15,Matches,2024-2025
472,Jay Stansfield,eng ENG,MF,Fulham,22-130,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
473,Jason Steele,eng ENG,GK,Brighton,34-228,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
474,Jack Stephens,eng ENG,DF,Southampton,31-066,1994,13,11,894,9.9,0,0,0,0,0,0,2,2,0.3,0.3,0.1,0.4,11,45,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,2024-2025
475,Raheem Sterling,eng ENG,"FW,MF",Arsenal,30-116,1994,12,4,310,3.4,0,1,1,0,0,0,1,0,1.0,1.0,0.3,1.3,18,14,57,0.00,0.29,0.29,0.00,0.29,0.30,0.08,0.38,0.30,0.38,Matches,2024-2025
476,Ross Stewart,sct SCO,"FW,MF",Southampton,28-266,1996,4,1,132,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,5,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,2024-2025
477,Jakub Stolarczyk,pl POL,GK,Leicester City,24-105,2000,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
478,John Stones,eng ENG,"DF,MF",Manchester City,30-310,1994,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0.00,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,Matches,2024-2025
479,Jørgen Strand Larsen,no NOR,FW,Wolves,25-056,2000,28,25,2156,24.0,10,2,12,10,0,0,3,0,6.7,6.7,2.2,8.9,12,24,81,0.42,0.08,0.50,0.42,0.50,0.28,0.09,0.37,0.28,0.37,Matches,2024-2025
480,Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24-279,2000,27,15,1441,16.0,1,1,2,1,0,0,4,0,0.4,0.4,2.2,2.7,31,67,73,0.06,0.06,0.12,0.06,0.12,0.03,0.14,0.17,0.03,0.17,Matches,2024-2025
481,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,23-047,2002,18,9,822,9.1,1,0,1,1,0,0,0,0,0.9,0.9,0.4,1.2,37,15,58,0.11,0.00,0.11,0.11,0.11,0.09,0.04,0.13,0.09,0.13,Matches,2024-2025
482,Crysencio Summerville,nl NED,"FW,MF",West Ham,23-155,2001,19,7,786,8.7,1,1,2,1,0,0,2,0,1.6,1.6,1.7,3.3,29,18,71,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,Matches,2024-2025
483,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29-191,1995,19,13,979,10.9,4,0,4,4,0,0,2,0,3.4,3.4,0.2,3.6,16,18,46,0.37,0.00,0.37,0.37,0.37,0.31,0.02,0.33,0.31,0.33,Matches,2024-2025
484,Dominik Szoboszlai,hu HUN,MF,Liverpool,24-160,2000,28,23,2043,22.7,5,3,8,5,0,0,6,0,6.8,6.8,5.0,11.8,63,105,115,0.22,0.13,0.35,0.22,0.35,0.30,0.22,0.52,0.30,0.52,Matches,2024-2025
485,Matt Targett,eng ENG,DF,Newcastle Utd,29-197,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
486,James Tarkowski,eng ENG,DF,Everton,32-135,1992,30,30,2691,29.9,1,1,2,1,0,0,5,0,1.1,1.1,2.2,3.3,8,69,3,0.03,0.03,0.07,0.03,0.07,0.04,0.07,0.11,0.04,0.11,Matches,2024-2025
487,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,26-012,1999,22,16,1505,16.7,3,5,8,3,0,0,5,0,5.2,5.2,2.8,8.0,36,95,101,0.18,0.30,0.48,0.18,0.48,0.31,0.17,0.48,0.31,0.48,Matches,2024-2025
488,Charlie Taylor,eng ENG,DF,Southampton,31-197,1993,7,2,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,8,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,2024-2025
