Squad,Season,Poss,Age,xG.1,xAG.1,xG+xAG,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Newcastle Utd,2019-2020,39.0,26.5,0.94,0.71,1.64,497.63,63.18,186.74,215.32,101.97,14.26,497.61,17.74,10.53,1.56,7.21,1.07,260.95,1437.26,718.42,14.13,11.21,3.63,15.63,7.58,276.97,21.74
Norwich City,2019-2020,49.3,26.0,0.97,0.72,1.69,616.03,82.24,238.37,259.68,123.71,17.39,615.97,18.58,11.24,1.59,7.32,1.04,370.79,1969.58,1014.32,17.71,12.53,4.66,15.55,10.66,390.39,30.5
Sheffield Utd,2019-2020,43.1,26.9,1.13,0.9,2.03,552.63,57.37,162.89,234.68,159.74,19.29,552.61,14.08,9.11,1.7,4.92,0.92,250.21,1271.13,625.61,12.97,9.87,3.05,13.66,7.68,316.18,35.11
Southampton,2019-2020,48.9,25.9,1.48,0.96,2.43,584.21,55.87,163.05,282.97,144.66,21.34,584.11,17.89,11.13,1.64,6.76,0.99,278.39,1541.89,784.08,16.53,12.08,4.79,17.21,9.53,325.34,34.42
Tottenham,2019-2020,52.0,26.7,1.26,0.86,2.12,650.76,67.58,200.08,311.21,146.03,18.68,650.66,19.66,11.82,1.58,7.82,1.05,407.61,2010.37,1036.5,20.21,15.08,4.79,15.18,11.5,420.97,36.79
Watford,2019-2020,42.9,28.9,1.29,0.83,2.11,528.45,56.16,164.47,234.5,135.47,21.18,528.24,15.16,8.45,1.47,6.68,1.16,274.45,1432.79,724.45,15.21,11.74,4.26,14.45,9.16,292.79,30.32
West Ham,2019-2020,44.1,27.4,1.28,0.97,2.24,552.42,56.82,164.71,254.76,138.55,19.63,552.32,17.45,10.45,1.58,6.95,1.05,293.53,1641.03,792.95,17.53,12.76,4.42,13.05,8.47,324.95,36.05
Wolves,2019-2020,48.3,26.6,1.42,0.99,2.41,596.32,52.29,183.39,284.13,134.34,20.5,596.21,21.5,13.39,1.64,8.11,0.99,303.76,1758.24,957.66,22.58,14.71,6.03,14.21,8.89,373.05,34.74
Arsenal,2018-2019,58.1,26.7,1.58,1.23,2.81,701.84,64.66,210.42,325.82,170.84,25.89,701.71,14.11,8.0,1.49,6.11,1.14,391.84,2180.58,1169.76,22.84,15.55,5.34,14.84,10.76,481.66,49.18
Bournemouth,2018-2019,46.9,26.6,1.4,1.02,2.42,581.03,64.13,198.97,250.18,138.34,22.29,580.82,15.21,7.66,1.32,7.55,1.31,347.63,1822.63,961.47,19.42,14.0,4.53,14.87,9.37,352.76,37.42
Brighton,2018-2019,42.4,27.4,0.93,0.64,1.57,533.0,64.84,185.0,238.29,114.89,15.29,532.87,13.58,7.08,1.37,6.5,1.26,266.37,1424.26,698.34,12.5,9.84,2.58,15.53,8.84,299.82,29.95
Burnley,2018-2019,41.2,28.0,1.17,0.82,1.99,504.97,66.89,160.63,233.55,115.66,16.68,504.89,9.74,5.45,1.47,4.29,1.16,208.84,1131.92,562.37,11.08,8.84,1.89,13.82,8.26,263.97,26.84
Cardiff City,2018-2019,35.4,27.7,1.11,0.73,1.84,427.92,58.63,143.47,172.21,117.63,18.76,427.82,12.5,6.84,1.44,5.63,1.19,163.71,1036.97,508.87,11.42,8.16,3.55,13.66,8.74,186.26,23.74
Chelsea,2018-2019,62.9,27.3,1.54,1.18,2.72,809.84,55.39,200.34,379.84,236.0,27.08,809.71,18.5,11.82,1.68,6.66,0.95,483.89,2721.16,1534.42,27.84,23.61,6.61,13.47,12.05,600.53,56.18
Crystal Palace,2018-2019,45.2,27.4,1.25,0.78,2.03,570.5,61.13,186.29,256.39,134.53,23.39,570.21,17.55,9.92,1.49,7.63,1.14,277.71,1649.29,861.47,20.29,13.05,5.97,15.16,12.45,331.55,38.11
Everton,2018-2019,51.5,25.7,1.31,0.89,2.19,605.66,57.24,181.24,275.92,154.55,22.53,605.55,15.45,8.63,1.47,6.79,1.16,333.82,1743.55,895.53,18.34,13.74,4.37,18.24,12.34,362.21,41.21
Fulham,2018-2019,48.8,26.0,1.09,0.79,1.88,625.18,68.08,191.76,313.71,124.82,15.58,625.11,14.89,9.26,1.64,5.63,0.99,279.05,1625.89,809.11,16.53,12.13,3.08,15.63,12.79,394.53,38.71
Huddersfield,2018-2019,47.2,26.2,0.76,0.52,1.28,578.34,54.71,181.0,263.84,139.63,15.79,578.32,11.66,6.05,1.37,5.61,1.27,286.53,1473.76,704.87,15.82,13.05,2.84,14.92,10.5,340.47,32.45
Leicester City,2018-2019,50.9,25.9,1.38,0.99,2.37,622.55,59.0,186.42,289.39,153.26,21.16,622.37,17.47,10.32,1.55,7.16,1.08,361.76,1899.16,1009.03,19.79,15.05,5.18,15.32,9.39,382.97,40.26
Liverpool,2018-2019,61.8,26.1,1.94,1.31,3.25,777.05,51.0,181.58,403.87,197.37,29.58,776.87,16.29,9.37,1.51,6.92,1.12,508.21,2412.42,1285.74,22.55,20.13,5.82,15.87,11.16,553.39,52.32
Manchester City,2018-2019,67.9,26.7,2.22,1.72,3.94,848.37,48.03,160.47,436.39,257.89,38.37,848.26,19.32,11.5,1.57,7.79,1.06,590.97,3131.32,1794.66,34.87,26.76,9.63,13.39,10.34,645.24,63.47
Manchester Utd,2018-2019,54.7,26.3,1.62,1.04,2.66,660.39,59.53,177.58,330.26,157.68,23.5,660.08,14.55,8.45,1.53,6.08,1.1,346.84,1847.53,1029.42,21.08,15.63,5.66,13.89,11.16,440.58,43.74
Newcastle Utd,2018-2019,40.4,26.9,1.03,0.72,1.75,527.58,62.11,184.87,230.71,117.32,16.87,527.5,11.68,6.21,1.4,5.45,1.23,230.24,1224.79,620.92,12.29,10.79,2.5,15.53,10.53,281.71,25.68
Southampton,2018-2019,43.4,25.4,1.23,0.77,2.0,547.68,56.58,157.47,261.82,133.87,18.66,547.55,13.37,7.55,1.49,5.82,1.14,254.03,1432.32,725.13,15.87,11.68,4.08,14.18,10.0,298.79,34.55
Tottenham,2018-2019,59.0,26.8,1.44,1.03,2.47,718.71,65.45,202.92,353.71,168.47,23.26,718.61,17.68,9.74,1.45,7.95,1.18,451.84,2230.21,1158.39,22.11,18.0,5.39,15.87,9.18,491.21,45.45
Watford,2018-2019,46.7,28.5,1.27,0.92,2.19,566.0,59.26,171.16,260.18,139.55,22.24,565.97,14.29,7.68,1.42,6.61,1.22,309.13,1478.45,746.47,15.47,11.42,5.03,15.42,11.0,327.37,33.5
West Ham,2018-2019,48.6,27.6,1.25,0.9,2.15,593.18,61.84,166.79,291.92,140.79,20.58,593.05,17.58,10.24,1.53,7.34,1.1,306.16,1778.87,917.0,19.24,14.26,4.97,14.53,10.26,362.16,38.71
Wolves,2018-2019,46.8,26.1,1.37,1.04,2.41,596.95,55.08,177.42,292.21,133.18,18.55,596.84,15.68,8.71,1.46,6.95,1.17,295.39,1678.58,914.84,19.55,13.0,5.05,13.11,10.55,364.34,35.13
Arsenal,2017-2018,61.4,26.8,1.8,1.4,3.2,767.0,57.92,197.21,356.84,218.58,29.05,766.87,14.39,10.08,1.84,4.32,0.79,490.29,2509.39,1324.89,24.08,21.18,5.63,14.21,10.84,545.92,58.16
Bournemouth,2017-2018,48.1,26.9,1.02,0.77,1.79,585.26,63.68,200.95,249.26,141.21,20.53,585.18,16.79,9.03,1.42,7.66,1.2,294.66,1739.24,868.89,18.47,12.47,4.45,14.84,11.03,351.21,39.61
Brighton,2017-2018,43.7,27.5,0.97,0.69,1.66,538.89,66.58,196.66,231.08,117.45,15.63,538.71,12.82,7.87,1.62,4.95,1.02,265.76,1513.13,767.95,13.76,9.87,2.97,13.05,7.79,309.18,32.0
Burnley,2017-2018,43.7,27.5,0.85,0.62,1.47,511.89,62.53,166.68,235.79,114.0,15.5,511.89,9.08,5.74,1.66,3.34,0.97,232.97,1200.92,585.79,11.34,8.66,2.32,12.87,9.08,274.18,28.68
Chelsea,2017-2018,55.6,26.7,1.43,1.09,2.52,714.87,60.71,212.74,317.24,193.0,26.0,714.79,19.32,13.5,1.84,5.82,0.79,433.66,2473.39,1359.39,27.5,18.39,6.26,14.03,10.89,495.34,51.82
Crystal Palace,2017-2018,45.2,27.1,1.41,0.88,2.28,546.76,57.68,174.0,240.0,139.29,21.34,546.5,18.89,12.61,1.76,6.29,0.88,301.61,1631.61,816.39,19.13,13.84,5.61,16.26,12.68,308.29,34.13
Everton,2017-2018,45.5,26.7,1.07,0.65,1.71,552.47,63.87,186.47,242.24,128.95,16.0,552.26,12.13,6.95,1.51,5.18,1.12,267.82,1393.53,701.32,12.55,9.26,2.76,16.21,10.03,311.84,30.32
Huddersfield,2017-2018,45.7,26.4,0.82,0.62,1.45,561.58,59.66,185.05,250.03,133.26,14.03,561.53,12.92,7.26,1.48,5.66,1.15,268.76,1596.05,773.18,16.5,13.03,3.34,14.37,10.95,313.03,31.29
Leicester City,2017-2018,48.0,27.2,1.32,0.92,2.24,561.11,58.13,170.97,266.18,130.63,17.71,560.95,18.89,11.11,1.55,7.74,1.08,274.16,1693.24,853.68,17.24,12.39,3.97,13.58,9.42,321.47,32.92
Liverpool,2017-2018,60.3,25.6,1.92,1.39,3.31,756.82,48.5,184.03,388.11,191.87,28.0,756.74,17.16,11.58,1.78,5.53,0.85,432.05,2338.76,1276.21,25.84,18.16,6.18,15.11,11.76,532.53,58.37
Manchester City,2017-2018,71.0,26.4,2.07,1.52,3.59,884.95,46.5,183.42,452.76,255.76,33.03,884.74,19.26,13.24,1.81,6.0,0.82,573.29,3081.55,1758.0,34.42,25.61,8.71,14.55,10.68,684.82,67.11
Manchester Utd,2017-2018,54.7,26.7,1.47,1.07,2.53,681.76,58.21,183.82,316.61,187.03,23.55,681.68,19.37,12.26,1.67,7.11,0.97,373.71,2103.13,1151.58,24.21,18.29,5.71,13.47,10.5,464.18,40.71
Newcastle Utd,2017-2018,41.7,25.6,1.1,0.84,1.94,531.05,59.87,181.55,236.18,119.24,15.82,531.03,14.08,8.0,1.49,6.05,1.13,261.82,1388.03,725.18,14.42,11.47,3.18,13.76,10.79,288.5,29.84
Southampton,2017-2018,51.3,26.2,1.05,0.78,1.83,609.71,54.11,166.45,301.58,148.53,18.42,609.63,13.97,9.97,1.88,3.97,0.75,351.47,1805.24,958.68,18.26,13.61,3.61,13.03,9.97,374.08,41.89
Stoke City,2017-2018,41.4,27.5,0.96,0.72,1.68,498.29,66.13,168.03,224.84,112.32,15.68,498.21,13.34,8.55,1.69,4.79,0.94,247.61,1365.95,661.68,12.55,10.61,2.84,14.0,10.61,263.0,29.55
Swansea City,2017-2018,45.3,27.2,0.83,0.53,1.36,559.95,64.24,185.45,260.74,119.84,14.11,559.92,13.76,8.37,1.6,5.39,1.03,279.29,1631.79,834.66,15.68,11.87,2.92,13.24,11.55,344.95,30.89
Tottenham,2017-2018,61.8,25.8,1.7,1.29,2.99,732.13,54.74,188.34,354.37,196.47,24.97,732.05,18.92,11.47,1.59,7.39,1.03,388.61,2125.18,1112.08,22.68,16.89,4.74,14.05,12.11,503.87,58.63
Watford,2017-2018,49.7,27.9,1.19,0.77,1.95,570.84,54.92,166.26,269.08,141.5,20.61,570.68,14.87,8.74,1.55,6.13,1.08,310.82,1537.55,778.79,17.03,12.61,4.26,14.39,10.79,332.5,37.61
West Brom,2017-2018,40.7,29.1,0.96,0.68,1.64,504.84,60.58,176.26,216.34,117.58,15.42,504.82,13.87,8.45,1.6,5.39,1.02,258.42,1426.87,704.03,13.34,10.26,2.34,14.0,11.74,273.26,28.76
West Ham,2017-2018,45.2,28.0,0.97,0.65,1.62,538.26,59.61,163.11,259.32,122.29,15.55,538.16,16.89,11.13,1.73,5.74,0.89,265.42,1599.89,735.82,13.76,11.53,2.79,13.24,10.24,306.71,30.58
